LAMBDA,FLUX,FERROR,MASKGOOD
9619.546999999999,7.953614532178615e-18,1.2694783992464342e-18,True
9620.415,7.788763919178661e-18,1.4518206291120975e-18,True
9620.868,6.8634136341009755e-18,1.7520476997214104e-18,True
9621.257,6.916641272118715e-18,1.843239343208183e-18,True
9644.862,9.64430332954571e-18,1.4262729965233212e-18,True
9645.319,8.054937826363748e-18,1.7842850142100502e-18,True
9645.71,1.1343949118707519e-17,1.880273515535345e-18,True
9646.449,5.678320997369862e-18,1.2526031742079247e-18,True
9669.31,1.0761866644653147e-17,1.4050795248261234e-18,True
9669.702,9.21563894110607e-18,1.285895069673274e-18,True
9669.7705,5.7236096840730495e-18,1.773015420649603e-18,True
9670.158000000001,-5.540558737401678e-19,1.929859353113597e-18,False
9693.757,9.595463386355476e-18,1.3875333533467269e-18,True
9694.152,1.1724666214130045e-17,1.3034718595108472e-18,False
9694.221,1.1902819787237076e-17,1.8055615396899966e-18,True
9694.626,3.792465677296461e-18,1.7659480452215208e-18,True
9717.023000000001,1.0114571758481544e-17,1.3558068067998687e-18,True
9718.558,1.095055903202291e-17,1.3122562236221023e-18,True
9718.671999999999,2.1365162204211214e-18,1.718018450079099e-18,False
9719.069,5.821229830908305e-18,1.6968318979758155e-18,True
9743.089,9.844704487539167e-18,1.3208094144455204e-18,True
9743.123,6.057138582348679e-18,1.7676054330846666e-18,True
9743.521999999999,6.054856220594986e-18,1.6757616745871997e-18,True
9743.724,7.893659231720572e-18,1.3054870615356087e-18,True
9767.099,8.976296233685543e-18,1.2843971349749342e-18,True
9767.481,-7.17019658861987e-19,1.747493909772285e-18,False
9767.5,9.820335801859496e-18,1.2949116386352979e-18,True
9767.725,4.401758746100189e-18,1.6954146986520668e-18,True
9790.954,9.667759335047979e-18,1.271588764607953e-18,True
9791.546,1.1503720346662507e-17,1.2845521565764806e-18,True
9792.211,8.816920569039028e-18,1.7978802037096374e-18,True
9792.853000000001,3.4262907353786587e-18,1.6455989598627227e-18,False
9815.993,1.1492830061483214e-17,1.2788369991599634e-18,True
9816.476,1.211641690148708e-17,1.830191185854407e-18,True
9816.881,1.0468288476925732e-17,1.6038605167311513e-18,True
9817.289,9.561958359375476e-18,1.3107504515605083e-18,True
9840.44,8.530824120095777e-18,1.2229281645797322e-18,True
9840.849,8.535741203671643e-18,1.3108372718781444e-18,True
9840.926,7.891558027153823e-18,1.7887282386452587e-18,True
